ma_khach_hang,ten_khach_hang,loai_khach,dien_thoai,email,dia_chi,khu_vuc_giao_hang,phuong_xa,ngay_sinh,gioi_tinh,tong_ban,no_can_thu,ngay_giao_dich_cuoi,ngay_tao,trang_thai
KH01001,Bà Nhật Mai,Cá nhân,+84-58-79204,dangjane@example.net,"953 Trần Ngõ
JaneQuận, 147612",Sài Gòn,Huyện JaneThành phố,1987-11-01,F,2500000,0,2026-05-28,2025-11-17T23:15:23.600875,1
KH01002,Lâm Trí Hoàng,Cá nhân,01 1636 0649,tranjohn@example.net,"82 Jane Đường
Quận JohnQuận, 467385",Sài Gòn,JohnXã,1953-12-16,F,7600000,0,2026-05-12,2025-10-05T23:15:23.601049,1
KH01003,Thành Mai Bùi,Cá nhân,(08) 3799 05,jane15@example.com,"27 Đặng Khu
Quận JanePhường, 919100",Sài Gòn,JanePhường,1981-11-11,M,5000000,0,2026-05-15,2025-08-05T23:15:23.601197,1
KH01004,Bảo Quang Mai,Cá nhân,+84 93 69716,john15@example.com,"8 Jane Tổ
Quận JohnHuyện, 559701",Hà Nội,JohnHuyện,1979-10-13,F,2600000,0,2026-06-05,2025-06-09T23:15:23.601425,1
KH01005,Yến Dương,Cá nhân,+84-53-984 3,vujane@example.com,"52 Phạm Số
JohnPhường, 664828",Hà Nội,JaneHuyện,1977-04-28,M,9500000,0,2026-06-01,2026-04-28T23:15:23.601567,1
KH01006,Bác Quang Nguyễn,Cá nhân,+84 30 66016,opham@example.net,"639 John Làng
Thành phố JohnThị xã, 679301",Hà Nội,JaneThành phố,1970-06-21,M,1700000,0,2026-05-17,2026-03-11T23:15:23.601731,1
KH01007,Ông Phúc Trần,Cá nhân,(07)305-5200,john04@example.com,"00 John Hẻm
JanePhường, 791698",Hà Nội,Quận JaneHuyện,1977-05-05,F,7100000,0,2026-05-14,2025-11-01T23:15:23.601886,1
KH01008,Chi Đặng,Cá nhân,(03) 7590 06,qtran@example.org,"51 Nguyễn Hẻm
JohnQuận, 954766",Hà Nội,JaneHuyện,1985-12-17,M,7900000,0,2026-06-02,2025-11-30T23:15:23.602026,1
KH01009,Châu Hoàng,Cá nhân,+84-63-904 5,jane20@example.org,"4 Bùi Làng
JohnHuyện, 512208",Hà Nội,Thành phố JohnXã,1950-05-11,M,9300000,0,2026-05-20,2025-10-28T23:15:23.602167,1
KH01010,Bác Hưng Dương,Cá nhân,+84 23 76411,jane19@example.net,"987 John Đường
JaneThành phố, 675656",Sài Gòn,Quận JohnThị xã,1968-09-01,M,1200000,0,2026-05-16,2025-06-21T23:15:23.602365,1
KH01011,Lâm Văn Phạm,Cá nhân,02 6782777,lejohn@example.org,"2 Mai Đường
JaneXã, 256367",Hà Nội,Thành phố JaneXã,1951-01-03,M,7100000,0,2026-05-29,2025-07-05T23:15:23.604268,1
KH01012,Quý cô Chi Phạm,Cá nhân,(08) 9064 55,vujane@example.org,"83 Bùi Số
JaneThị xã, 968816",Hà Nội,JohnXã,1978-09-21,M,3800000,0,2026-05-25,2025-10-31T23:15:23.604520,1
KH01013,Chi Hoàng,Cá nhân,+84 54 60737,jane87@example.com,"6 Jane Hẻm
JaneThị xã, 873944",Hà Nội,JaneThị xã,1992-11-13,F,600000,0,2026-05-25,2025-08-31T23:15:23.604695,1
KH01014,Quang Phạm,Cá nhân,(09)551-3163,janehoang@example.org,"7 Đặng Làng
JohnQuận, 941109",Hà Nội,Quận JohnXã,1987-11-09,F,9600000,0,2026-05-18,2025-09-15T23:15:23.604856,1
KH01015,Lâm Mai,Cá nhân,+84-97-813 4,john39@example.org,"33 John Tổ
Quận JaneHuyện, 120455",Hà Nội,Thành phố JanePhường,1979-06-19,F,2200000,0,2026-05-22,2025-06-09T23:15:23.605006,1
KH01016,Trung Hải Trần,Cá nhân,09 7115 6008,hoangjane@example.com,"2 Jane Tổ
Huyện JaneQuận, 355086",Sài Gòn,Quận JohnThị xã,1974-10-07,F,4900000,0,2026-05-12,2025-07-09T23:15:23.605185,1
KH01017,Cô Linh Hoàng,Cá nhân,04 0159 4724,john28@example.net,"714 John Khu
Huyện JohnPhường, 965476",Sài Gòn,JaneXã,1999-09-23,F,8600000,0,2026-05-12,2026-03-25T23:15:23.606514,1
KH01018,Cô Thành Đặng,Cá nhân,+84 02 84208,johnpham@example.org,"Huyện JaneThị xã
9 John Tổ, 318284",Sài Gòn,Quận JohnQuận,1998-03-18,F,2800000,0,2026-05-24,2025-07-21T23:15:23.606839,1
KH01019,Kim Dương,Cá nhân,+84-90-38547,john51@example.com,"0 Vũ Khu
JanePhường, 243686",Sài Gòn,Huyện JaneXã,1998-09-03,F,800000,0,2026-05-11,2025-11-23T23:15:23.606994,1
KH01020,Nhật Phú Bùi,Cá nhân,07 2289567,janehoang@example.com,"949 John Ngõ
Thành phố JaneQuận, 110385",Hà Nội,Quận JanePhường,1959-09-20,F,2500000,0,2026-05-13,2025-12-27T23:15:23.607153,1
KH01021,Nhiên Đặng,Cá nhân,(07)856-3115,john09@example.org,"Thị xã JaneThành phố
915 John Làng, 513111",Sài Gòn,JohnPhường,1951-03-20,F,8900000,0,2026-05-16,2025-12-18T23:15:23.607390,1
KH01022,Minh Hải Dương,Cá nhân,+84-12-962 1,emai@example.net,"19 John Khu
Huyện JaneThành phố, 818306",Hà Nội,JohnQuận,1975-09-20,M,1300000,0,2026-05-15,2025-10-12T23:15:23.607542,1
