ma_hoa_don,thoi_gian,ma_khach_hang,ten_khach_hang,tong_tien_hang,giam_gia,khach_da_tra,con_can_thu,trang_thai,ngay_tao
HD000001,2026-04-10T00:00:00,KH01048,Bà Vi Dương,1403700,0,1403700,0,Hoàn thành,2026-04-10T00:00:00
HD000002,2026-05-01T00:00:00,KH01013,Chi Hoàng,2097000,0,2097000,0,Hoàn thành,2026-05-01T00:00:00
HD000003,2026-04-21T00:00:00,KH01057,Bác Anh Phạm,4933600,0,4933600,0,Hoàn thành,2026-04-21T00:00:00
HD000004,2026-04-25T00:00:00,KH01017,Cô Linh Hoàng,1305000,0,1305000,0,Hoàn thành,2026-04-25T00:00:00
HD000005,2026-05-07T00:00:00,KH01075,Ánh Hoàng,3312800,0,3312800,0,Hoàn thành,2026-05-07T00:00:00
HD000006,2026-05-01T00:00:00,KH01042,Cô Lâm Nguyễn,2169500,0,2169500,0,Hoàn thành,2026-05-01T00:00:00
HD000007,2026-04-24T00:00:00,KH01007,Ông Phúc Trần,3686200,0,3686200,0,Hoàn thành,2026-04-24T00:00:00
HD000008,2026-04-20T00:00:00,KH01018,Cô Thành Đặng,1842000,0,1842000,0,Hoàn thành,2026-04-20T00:00:00
HD000009,2026-05-24T00:00:00,KH01061,Chi Hoàng,1699800,0,1699800,0,Hoàn thành,2026-05-24T00:00:00
HD000010,2026-03-15T00:00:00,KH01030,Quang Tấn Hoàng,2212000,0,2212000,0,Hoàn thành,2026-03-15T00:00:00
HD000011,2026-05-12T00:00:00,KH01016,Trung Hải Trần,1007400,0,1007400,0,Hoàn thành,2026-05-12T00:00:00
HD000012,2026-05-04T00:00:00,KH01006,Bác Quang Nguyễn,1057600,0,1057600,0,Hoàn thành,2026-05-04T00:00:00
HD000013,2026-05-06T00:00:00,KH01036,Ông Trọng Phạm,4109000,0,4109000,0,Hoàn thành,2026-05-06T00:00:00
